lat,long,time,calibpm
22.5,88.35,12-01-2023 03:00,110.092225
22.51,88.36,12-01-2023 03:00,108.3966924
22.51,88.37,12-01-2023 03:00,107.3960888
22.54,88.34,12-01-2023 03:00,89.45903408
22.54,88.35,12-01-2023 03:00,89.74020754
22.56,88.35,12-01-2023 03:00,90.31492475
22.56,88.36,12-01-2023 03:00,90.14508843
22.56,88.39,12-01-2023 03:00,106.6428095
22.57,88.42,12-01-2023 03:00,103.8848564
22.58,88.43,12-01-2023 03:00,105.1086214
22.59,88.36,12-01-2023 03:00,85.73282718
22.6,88.37,12-01-2023 03:00,85.26389023
22.6,88.41,12-01-2023 03:00,106.8560484
22.61,88.36,12-01-2023 03:00,87.69726725
22.48,88.34,12-01-2023 04:00,107.0286812
22.48,88.39,12-01-2023 04:00,114.2683598
22.5,88.35,12-01-2023 04:00,109.2308921
22.51,88.36,12-01-2023 04:00,108.204326
22.51,88.37,12-01-2023 04:00,108.3099356
22.54,88.34,12-01-2023 04:00,89.29654685
22.54,88.35,12-01-2023 04:00,89.59187333
22.56,88.35,12-01-2023 04:00,92.31654706
22.56,88.36,12-01-2023 04:00,92.79208875
22.56,88.39,12-01-2023 04:00,107.6878243
22.57,88.42,12-01-2023 04:00,106.8414733
22.58,88.43,12-01-2023 04:00,106.5706787
22.59,88.36,12-01-2023 04:00,87.18723406
22.6,88.37,12-01-2023 04:00,86.77773983
22.6,88.41,12-01-2023 04:00,108.8059133
22.61,88.36,12-01-2023 04:00,89.82347112
22.48,88.34,12-01-2023 05:00,106.4983494
22.48,88.39,12-01-2023 05:00,112.8500747
22.5,88.35,12-01-2023 05:00,109.7554326
22.51,88.36,12-01-2023 05:00,108.3778713
22.51,88.37,12-01-2023 05:00,109.0268705
22.54,88.34,12-01-2023 05:00,96.27227856
22.54,88.35,12-01-2023 05:00,97.24411971
22.56,88.35,12-01-2023 05:00,94.97498438
22.56,88.36,12-01-2023 05:00,95.54393604
22.56,88.39,12-01-2023 05:00,115.0332594
22.57,88.42,12-01-2023 05:00,112.1649127
22.58,88.43,12-01-2023 05:00,113.3886777
22.59,88.36,12-01-2023 05:00,90.38578447
22.6,88.37,12-01-2023 05:00,90.14612655
22.6,88.41,12-01-2023 05:00,115.9315048
22.61,88.36,12-01-2023 05:00,93.56266714
22.48,88.34,12-01-2023 06:00,107.9603827
22.48,88.39,12-01-2023 06:00,114.0373237
22.5,88.35,12-01-2023 06:00,111.1410395
22.51,88.36,12-01-2023 06:00,110.1267393
22.51,88.37,12-01-2023 06:00,108.7544707
22.54,88.34,12-01-2023 06:00,100.4122819
22.54,88.35,12-01-2023 06:00,101.3992196
22.56,88.35,12-01-2023 06:00,97.17645761
22.56,88.36,12-01-2023 06:00,96.09988406
22.56,88.39,12-01-2023 06:00,120.0245445
22.57,88.42,12-01-2023 06:00,116.0654712
22.58,88.43,12-01-2023 06:00,117.3175423
22.59,88.36,12-01-2023 06:00,93.55502625
22.6,88.37,12-01-2023 06:00,92.52751653
22.6,88.41,12-01-2023 06:00,120.1519217
22.61,88.36,12-01-2023 06:00,96.92439008
22.48,88.34,12-01-2023 07:00,109.2966327
22.48,88.39,12-01-2023 07:00,116.4895822
22.5,88.35,12-01-2023 07:00,112.3414205
22.51,88.36,12-01-2023 07:00,110.9808429
22.51,88.37,12-01-2023 07:00,109.0866059
22.54,88.34,12-01-2023 07:00,93.29764116
22.54,88.35,12-01-2023 07:00,92.32202587
22.56,88.35,12-01-2023 07:00,92.65909595
22.56,88.36,12-01-2023 07:00,93.35070718
22.56,88.39,12-01-2023 07:00,117.5190845
22.57,88.42,12-01-2023 07:00,113.9978115
22.58,88.43,12-01-2023 07:00,115.2451649
22.59,88.36,12-01-2023 07:00,89.42061439
22.6,88.37,12-01-2023 07:00,89.05640984
22.6,88.41,12-01-2023 07:00,117.3369823
